,Actual_outcome,prob_0,prob_1
898,0,0.55,0.45
899,0,0.57,0.43
900,0,0.73,0.27
901,0,0.51,0.49
902,0,0.58,0.42
903,0,0.69,0.31
904,0,0.54,0.46
905,0,0.6,0.4
906,0,0.63,0.37
907,1,0.42,0.58
908,1,0.43,0.57
909,0,0.64,0.36
910,0,0.55,0.45
911,1,0.35,0.65
912,0,0.69,0.31
913,0,0.54,0.46
914,0,0.52,0.48
915,0,0.62,0.38
916,0,0.57,0.43
917,0,0.55,0.45
918,1,0.44,0.56
919,0,0.55,0.45
920,0,0.77,0.23
921,0,0.78,0.22
922,0,0.75,0.25
923,0,0.72,0.28
924,1,0.26,0.74
925,0,0.53,0.47
926,0,0.76,0.24
927,0,0.62,0.38
928,0,0.78,0.22
929,1,0.41,0.59
930,0,0.59,0.41
931,0,0.64,0.36
932,1,0.48,0.52
933,0,0.7,0.3
934,0,0.72,0.28
935,0,0.69,0.31
936,0,0.68,0.32
937,0,0.6,0.4
938,0,0.76,0.24
939,0,0.73,0.27
940,0,0.64,0.36
941,0,0.54,0.46
942,0,0.61,0.39
943,0,0.77,0.23
944,0,0.61,0.39
945,0,0.7,0.3
946,0,0.5,0.5
947,0,0.64,0.36
948,0,0.63,0.37
949,0,0.74,0.26
950,0,0.58,0.42
951,0,0.67,0.33
952,1,0.43,0.57
953,0,0.79,0.21
954,0,0.74,0.26
955,0,0.63,0.37
956,0,0.7,0.3
957,0,0.67,0.33
958,0,0.83,0.17
959,0,0.57,0.43
960,0,0.7,0.3
961,0,0.7,0.3
962,0,0.5,0.5
963,0,0.72,0.28
964,0,0.62,0.38
965,0,0.78,0.22
966,0,0.74,0.26
967,1,0.48,0.52
968,1,0.41,0.59
969,0,0.51,0.49
970,0,0.62,0.38
971,0,0.7,0.3
972,0,0.66,0.34
973,0,0.73,0.27
974,1,0.49,0.51
975,1,0.48,0.52
976,0,0.61,0.39
977,0,0.61,0.39
978,0,0.68,0.32
979,0,0.67,0.33
980,0,0.75,0.25
981,1,0.34,0.66
982,1,0.48,0.52
983,0,0.72,0.28
984,0,0.83,0.17
985,0,0.64,0.36
986,0,0.67,0.33
987,0,0.61,0.39
988,0,0.6,0.4
989,0,0.76,0.24
990,0,0.54,0.46
991,0,0.62,0.38
992,0,0.66,0.34
993,0,0.57,0.43
994,1,0.49,0.51
995,0,0.66,0.34
996,0,0.68,0.32
997,1,0.46,0.54
998,0,0.69,0.31
999,0,0.77,0.23
